"","BuyOn","BuyPrice","Shares","SellOn","SellPrice","ProfitLoss"
"1","2015-01-28",115.309998,86,"2015-03-10",124.510002,771.2
"2","2015-04-15",126.779999,85,"2015-05-08",127.620003,51.4
"3","2015-05-21",131.389999,82,"2015-06-09",127.419998,-345.55
"4","2015-07-21",130.75,80,"2015-07-31",121.300003,-776
"5","2015-09-11",114.209999,85,"2015-10-01",109.580002,-413.55
"6","2015-10-21",113.760002,82,"2015-11-16",114.18,14.43
"7","2015-12-01",117.339996,80,"2015-12-11",113.18,-352.8
