"","BuyOn","BuyPrice","Shares","SellOn","SellPrice","ProfitLoss"
"1","2015-03-02",103.220001,96,"2015-03-13",99.209999,-404.97
"2","2015-03-26",100.139999,96,"2015-04-07",100.099998,-23.85
"3","2015-05-18",103.419998,92,"2015-06-03",100.089996,-326.37
"4","2015-06-26",99.639999,93,"2015-07-08",97.769997,-193.92
"5","2015-07-17",100.080002,91,"2015-08-04",99.800003,-45.48
"6","2015-09-23",92.989998,97,"2015-09-30",93.349998,14.91
