"","BuyOn","BuyPrice","Shares","SellOn","SellPrice","ProfitLoss"
"1","2015-01-30",23.889999,418,"2015-03-16",25.450001,632.08
"2","2015-04-10",28.51,373,"2015-05-04",27.27,-482.53
"3","2015-05-13",27.209999,374,"2015-06-30",26.57,-259.36
"4","2015-07-22",26.629999,373,"2015-07-30",26.120001,-210.23
"5","2015-09-15",25.299999,385,"2015-12-08",30.190001,1862.65
